LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,2240,28.3%,1092,13.8%,3332,42.1%,ELEMENTARY,COUNTY,,,,,,,
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,877,18.2%,818,17%,1695,35.2%,MIDDLE/HIGH,COUNTY,,,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,938,18.6%,1140,22.5%,2078,41.1%,DISTRICT TOTAL,COUNTY,,,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,573,18.1%,605,19.1%,1178,37.2%,ELEMENTARY,COUNTY,,,,,,,
000051,ST.LAWRENCE,ST.LAWRENCE,CENTRAL NEW YORK,2012-2014,338,18.3%,519,28.1%,857,46.4%,MIDDLE/HIGH,COUNTY,,,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,1582,15.6%,1496,14.7%,3078,30.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,888,15.5%,795,13.9%,1683,29.3%,ELEMENTARY,COUNTY,,,,,,,
000052,SARATOGA,SARATOGA,NORTHEASTERN NEW YORK,2012-2014,699,15.7%,735,16.5%,1434,32.2%,MIDDLE/HIGH,COUNTY,,,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,991,15.9%,1174,18.8%,2165,34.7%,DISTRICT TOTAL,COUNTY,,,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,576,16%,633,17.6%,1209,33.6%,ELEMENTARY,COUNTY,,,,,,,
000053,SCHENECTADY,SCHENECTADY,NORTHEASTERN NEW YORK,2012-2014,410,15.5%,541,20.5%,951,36%,MIDDLE/HIGH,COUNTY,,,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,251,19.9%,237,18.8%,488,38.7%,DISTRICT TOTAL,COUNTY,,,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,142,19.7%,119,16.5%,261,36.3%,ELEMENTARY,COUNTY,,,,,,,
000054,SCHOHARIE,SCHOHARIE,NORTHEASTERN NEW YORK,2012-2014,84,18.1%,97,21%,181,39.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,133,19.6%,109,16.1%,242,35.7%,DISTRICT TOTAL,COUNTY,,,,,,,
